[20:00:17.959] Sistema iniciado con 3 hilos
[20:00:17.968] Marcado inicial: [3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
[20:00:19.332] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:19.334] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:19.334] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:19.377] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:19.384] T7 | Marcado: [1,0,1,1,0,0,0,0,1,0,0,0]
[20:00:19.385] T8 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:19.385] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:19.388] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:19.468] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:19.549] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:19.551] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:19.551] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:19.635] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:19.639] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:19.646] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:19.655] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:19.656] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:19.657] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:19.730] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:19.732] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:19.732] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:19.738] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:19.741] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:19.753] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:19.765] T7 | Marcado: [0,0,1,2,0,0,0,0,1,0,0,0]
[20:00:19.766] T8 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:19.847] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:19.927] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:19.930] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:19.935] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:19.938] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:19.938] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:20.016] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:20.018] T0 | Marcado: [0,1,0,0,0,1,0,0,0,0,0,1]
[20:00:20.019] T1 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:20.020] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:20.030] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:20.040] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:20.042] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.122] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:20.124] T5 | Marcado: [1,0,1,1,0,0,0,1,0,0,0,0]
[20:00:20.126] T6 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:20.127] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:20.127] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.143] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:20.143] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:20.216] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:20.217] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:20.218] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:20.225] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:20.309] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.309] T2 | Marcado: [0,0,1,1,1,0,0,0,0,0,0,1]
[20:00:20.310] T3 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:20.392] T4 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:20.394] T5 | Marcado: [0,0,1,0,0,0,0,1,0,0,0,2]
[20:00:20.394] T6 | Marcado: [0,0,1,0,0,0,1,0,0,0,0,3]
[20:00:20.447] T11 | Marcado: [1,0,1,0,0,0,1,0,0,0,0,2]
[20:00:20.450] T0 | Marcado: [0,1,0,0,0,0,1,0,0,0,0,2]
[20:00:20.451] T1 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:20.476] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:20.477] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:20.478] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.496] T11 | Marcado: [1,0,1,2,0,0,1,0,0,0,0,0]
[20:00:20.504] T0 | Marcado: [0,1,0,2,0,0,1,0,0,0,0,0]
[20:00:20.509] T1 | Marcado: [0,0,1,3,0,0,1,0,0,0,0,0]
[20:00:20.552] T7 | Marcado: [0,0,1,2,0,0,0,0,1,0,0,0]
[20:00:20.556] T8 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:20.643] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:20.723] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.724] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:20.724] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:20.730] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:20.743] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:20.807] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
[20:00:20.808] T0 | Marcado: [0,1,0,0,0,1,0,0,0,0,0,1]
[20:00:20.808] T1 | Marcado: [0,0,1,1,0,1,0,0,0,0,0,1]
[20:00:20.827] T11 | Marcado: [1,0,1,1,0,1,0,0,0,0,0,0]
[20:00:20.827] T4 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:20.827] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:20.828] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.909] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:20.910] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:20.928] T11 | Marcado: [1,0,1,1,0,0,1,0,0,0,0,1]
[20:00:20.928] T0 | Marcado: [0,1,0,1,0,0,1,0,0,0,0,1]
[20:00:20.929] T1 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:20.930] T7 | Marcado: [0,0,1,1,0,0,0,0,1,0,0,1]
[20:00:20.930] T8 | Marcado: [0,0,1,1,0,0,0,0,0,1,0,1]
[20:00:20.991] T11 | Marcado: [1,0,1,1,0,0,0,0,0,1,0,0]
[20:00:20.992] T0 | Marcado: [0,1,0,1,0,0,0,0,0,1,0,0]
[20:00:20.993] T1 | Marcado: [0,0,1,2,0,0,0,0,0,1,0,0]
[20:00:21.014] T9 | Marcado: [0,0,1,2,0,0,0,0,0,0,1,0]
[20:00:21.095] T10 | Marcado: [0,0,1,2,0,0,1,0,0,0,0,1]
[20:00:21.096] T5 | Marcado: [0,0,1,1,0,0,0,1,0,0,0,1]
[20:00:21.097] T6 | Marcado: [0,0,1,1,0,0,1,0,0,0,0,2]
[20:00:21.098] T2 | Marcado: [0,0,1,0,1,0,0,0,0,0,0,2]
[20:00:21.098] T3 | Marcado: [0,0,1,0,0,1,0,0,0,0,0,2]
[20:00:21.179] T11 | Marcado: [1,0,1,0,0,1,0,0,0,0,0,1]
